index,City,Date,Card Type,Exp Type,Gender,Amount
1,"Bengaluru, India",04-Jan-15,Platinum,Fuel,M,283274
2,"Bengaluru, India",17-Jan-14,Signature,Entertainment,F,25524
3,"Greater Mumbai, India",05-Sep-14,Platinum,Food,F,141963
4,"Greater Mumbai, India",23-Aug-14,Gold,Fuel,F,226297
5,"Bengaluru, India",19-Jan-14,Platinum,Fuel,F,165694
6,"Greater Mumbai, India",09-Jun-14,Platinum,Food,F,1966
7,"Ahmedabad, India",25-Sep-14,Signature,Bills,M,228080
8,"Greater Mumbai, India",23-Nov-13,Gold,Food,M,107490
9,"Greater Mumbai, India",28-Nov-14,Signature,Entertainment,M,154713
10,"Ahmedabad, India",17-Mar-14,Platinum,Fuel,F,144488
11,"Bengaluru, India",16-Nov-13,Silver,Fuel,M,84568
12,"Delhi, India",19-Apr-14,Silver,Fuel,F,255257
13,"Greater Mumbai, India",01-Oct-14,Signature,Bills,M,220351
14,"Greater Mumbai, India",07-Dec-14,Platinum,Grocery,M,214808
15,"Bengaluru, India",24-Jan-14,Platinum,Fuel,M,175504
16,"Greater Mumbai, India",24-Jul-14,Signature,Food,F,149784
17,"Delhi, India",15-Mar-15,Signature,Grocery,M,195264
18,"Greater Mumbai, India",28-Mar-14,Gold,Bills,F,183737
19,"Delhi, India",24-Mar-14,Platinum,Food,M,22272
20,"Ahmedabad, India",18-Jan-15,Signature,Food,F,9221
21,"Greater Mumbai, India",10-Sep-14,Signature,Bills,M,137812
22,"Ahmedabad, India",10-May-15,Signature,Food,F,233193
23,"Ahmedabad, India",28-Nov-13,Platinum,Food,F,234574
24,"Ahmedabad, India",29-Mar-14,Silver,Fuel,M,112593
25,"Delhi, India",04-Apr-15,Silver,Food,F,182034
26,"Bengaluru, India",01-Feb-15,Platinum,Bills,F,133907
27,"Delhi, India",30-Dec-14,Platinum,Bills,M,68778
28,"Greater Mumbai, India",15-Dec-13,Platinum,Bills,M,24771
29,"Ahmedabad, India",16-May-15,Silver,Fuel,M,119325
30,"Ahmedabad, India",09-Jun-14,Signature,Grocery,M,100134
31,"Greater Mumbai, India",06-Oct-14,Silver,Entertainment,M,59616
32,"Ahmedabad, India",14-Oct-14,Silver,Entertainment,M,179223
33,"Delhi, India",23-Oct-14,Platinum,Grocery,M,148288
34,"Ahmedabad, India",23-Nov-13,Signature,Fuel,F,125677
35,"Bengaluru, India",26-Aug-14,Platinum,Grocery,F,203670
